M,Ridership
1991/01,1708.917
1991/02,1620.586
1991/03,1972.715
1991/04,1811.665
1991/05,1974.964
1991/06,1862.356
1991/07,1939.86
1991/08,2013.264
1991/09,1595.657
1991/10,1724.924
1991/11,1675.667
1991/12,1813.863
1992/01,1614.827
1992/02,1557.088
1992/03,1891.223
1992/04,1955.981
1992/05,1884.714
1992/06,1623.042
1992/07,1903.309
1992/08,1996.712
1992/09,1703.897
1992/10,1810.0
1992/11,1861.601
1992/12,1875.122
1993/01,1705.259
1993/02,1618.535
1993/03,1836.709
1993/04,1957.043
1993/05,1917.185
1993/06,1882.398
1993/07,1933.009
1993/08,1996.167
1993/09,1672.841
1993/10,1752.827
1993/11,1720.377
1993/12,1734.292
1994/01,1563.365
1994/02,1573.959
1994/03,1902.639
1994/04,1833.888
1994/05,1831.049
1994/06,1775.755
1994/07,1867.508
1994/08,1906.608
1994/09,1685.632
1994/10,1778.546
1994/11,1775.995
1994/12,1783.35
1995/01,1548.415
1995/02,1496.925
1995/03,1798.316
1995/04,1732.895
1995/05,1772.345
1995/06,1761.207
1995/07,1791.655
1995/08,1874.82
1995/09,1571.309
1995/10,1646.948
1995/11,1672.631
1995/12,1656.845
1996/01,1381.758
1996/02,1360.852
1996/03,1558.575
1996/04,1608.42
1996/05,1696.696
1996/06,1693.183
1996/07,1835.516
1996/08,1942.573
1996/09,1551.401
1996/10,1686.508
1996/11,1576.204
1996/12,1700.433
1997/01,1396.588
1997/02,1371.69
1997/03,1707.522
1997/04,1654.604
1997/05,1762.903
1997/06,1775.8
1997/07,1934.219
1997/08,2008.055
1997/09,1615.924
1997/10,1773.91
1997/11,1732.368
1997/12,1796.626
1998/01,1570.33
1998/02,1412.691
1998/03,1754.641
1998/04,1824.932
1998/05,1843.289
1998/06,1825.964
1998/07,1968.172
1998/08,1921.645
1998/09,1669.597
1998/10,1791.474
1998/11,1816.714
1998/12,1846.754
1999/01,1599.427
1999/02,1548.804
1999/03,1832.333
1999/04,1839.72
1999/05,1846.498
1999/06,1864.852
1999/07,1965.743
1999/08,1949.002
1999/09,1607.373
1999/10,1803.664
1999/11,1850.309
1999/12,1836.435
00/01,1541.66
00/02,1616.928
00/03,1919.538
00/04,1971.493
00/05,1992.301
00/06,2009.763
00/07,2053.996
00/08,2097.471
00/09,1823.706
00/10,1976.997
00/11,1981.408
00/12,2000.153
2001/01,1683.148
2001/02,1663.404
2001/03,2007.928
2001/04,2023.792
2001/05,2047.008
2001/06,2072.913
2001/07,2126.717
2001/08,2202.638
2001/09,1707.693
2001/10,1950.716
2001/11,1973.614
2001/12,1984.729
2002/01,1759.629
2002/02,1770.595
2002/03,2019.912
2002/04,2048.398
2002/05,2068.763
2002/06,1994.267
2002/07,2075.258
2002/08,2026.56
2002/09,1734.155
2002/10,1916.771
2002/11,1858.345
2002/12,1996.352
2003/01,1778.033
2003/02,1749.489
2003/03,2066.466
2003/04,2098.899
2003/05,2104.911
2003/06,2129.671
2003/07,2223.349
2003/08,2174.36
2003/09,1931.406
2003/10,2121.47
2003/11,2076.054
2003/12,2140.677
2004/01,1831.508
2004/02,1838.006
2004/03,2132.446
